filename,label
Image_485.jpg,listening_to_music
Image_862.jpg,using_laptop
Image_1857.jpg,using_laptop
Image_1448.jpg,laughing
Image_1128.jpg,sitting
Image_5018.jpg,listening_to_music
Image_4653.jpg,listening_to_music
Image_3867.jpg,cycling
Image_2055.jpg,sleeping
Image_2033.jpg,laughing
Image_2618.jpg,cycling
Image_2810.jpg,texting
Image_5228.jpg,eating
Image_1934.jpg,running
Image_1081.jpg,cycling
Image_825.jpg,using_laptop
Image_1068.jpg,listening_to_music
Image_1770.jpg,sleeping
Image_946.jpg,hugging
Image_1008.jpg,drinking
Image_2911.jpg,hugging
Image_4891.jpg,clapping
Image_1250.jpg,listening_to_music
Image_44.jpg,eating
Image_349.jpg,clapping
Image_1750.jpg,eating
Image_4814.jpg,hugging
Image_4928.jpg,laughing
Image_5016.jpg,running
Image_2796.jpg,fighting
Image_65.jpg,laughing
Image_3376.jpg,running
Image_1544.jpg,fighting
Image_3993.jpg,fighting
Image_2418.jpg,fighting
Image_2839.jpg,listening_to_music
Image_839.jpg,fighting
Image_288.jpg,cycling
Image_425.jpg,laughing
Image_2447.jpg,drinking
Image_2363.jpg,dancing
Image_8.jpg,hugging
Image_1085.jpg,texting
Image_2726.jpg,running
Image_5275.jpg,calling
Image_4123.jpg,eating
Image_2482.jpg,calling
Image_4605.jpg,calling
Image_729.jpg,cycling
Image_5028.jpg,running
Image_1079.jpg,hugging
Image_1433.jpg,calling
Image_1667.jpg,eating
Image_1234.jpg,listening_to_music
Image_4939.jpg,drinking
Image_1261.jpg,calling
Image_5051.jpg,clapping
Image_2590.jpg,hugging
Image_2296.jpg,clapping
Image_4110.jpg,texting
Image_4680.jpg,clapping
Image_4683.jpg,dancing
Image_1811.jpg,sitting
Image_103.jpg,calling
Image_4207.jpg,using_laptop
Image_1874.jpg,drinking
Image_1073.jpg,laughing
Image_1721.jpg,hugging
Image_2289.jpg,clapping
Image_3835.jpg,hugging
Image_3403.jpg,running
Image_1762.jpg,clapping
Image_106.jpg,listening_to_music
Image_1401.jpg,texting
Image_3587.jpg,texting
Image_3504.jpg,drinking
Image_2136.jpg,calling
Image_4622.jpg,using_laptop
Image_1641.jpg,dancing
Image_2567.jpg,cycling
Image_4377.jpg,eating
Image_2869.jpg,cycling
Image_2840.jpg,texting
Image_361.jpg,hugging
Image_4129.jpg,laughing
Image_3380.jpg,hugging
Image_337.jpg,hugging
Image_1034.jpg,clapping
Image_1017.jpg,eating
Image_981.jpg,using_laptop
Image_1180.jpg,using_laptop
Image_4370.jpg,drinking
Image_5085.jpg,hugging
Image_4670.jpg,cycling
Image_358.jpg,using_laptop
Image_2179.jpg,sitting
Image_3467.jpg,sitting
Image_3658.jpg,fighting
Image_1107.jpg,sleeping
Image_1215.jpg,sleeping
Image_3790.jpg,sleeping
Image_1559.jpg,laughing
Image_1791.jpg,listening_to_music
Image_344.jpg,fighting
Image_2293.jpg,running
Image_4494.jpg,using_laptop
Image_2410.jpg,fighting
Image_3665.jpg,laughing
Image_2307.jpg,laughing
Image_3842.jpg,eating
